Step,Epsilon_2,p,q,specificVoid
160,0.016,668.806,514.025,1.94668
161,0.0161,669.336,515.664,1.94662
162,0.0162,669.86,517.293,1.94655
163,0.0163,670.381,518.913,1.94649
164,0.0164,670.895,520.524,1.94642
165,0.0165,671.406,522.126,1.94635
166,0.0166,671.909,523.717,1.94629
167,0.0167,672.409,525.301,1.94622
168,0.0168,672.904,526.876,1.94616
169,0.0169,673.399,528.445,1.9461
170,0.017,673.901,530.014,1.94603
171,0.0171,674.407,531.579,1.94597
172,0.0172,674.908,533.136,1.9459
173,0.0173,675.408,534.686,1.94584
174,0.0174,675.9,536.226,1.94577
175,0.0175,676.394,537.761,1.94571
176,0.0176,676.874,539.283,1.94565
177,0.0177,677.365,540.805,1.94558
178,0.0178,677.844,542.315,1.94552
179,0.0179,678.325,543.82,1.94546
180,0.018,678.8,545.317,1.94539
181,0.0181,679.272,546.806,1.94533
182,0.0182,679.746,548.292,1.94527
183,0.0183,680.223,549.775,1.9452
184,0.0184,680.701,551.253,1.94514
185,0.0185,681.175,552.723,1.94508
186,0.0186,681.647,554.187,1.94502
187,0.0187,682.114,555.643,1.94495
188,0.0188,682.578,557.091,1.94489
189,0.0189,683.037,558.531,1.94483
190,0.019,683.493,559.964,1.94477
191,0.0191,683.944,561.389,1.94471
192,0.0192,684.391,562.805,1.94465
193,0.0193,684.832,564.214,1.94458
194,0.0194,685.275,565.619,1.94452
195,0.0195,685.714,567.016,1.94446
196,0.0196,686.151,568.408,1.9444
197,0.0197,686.591,569.796,1.94434
198,0.0198,687.035,571.184,1.94428
199,0.0199,687.483,572.569,1.94422
200,0.02,687.928,573.949,1.94416
201,0.0201,688.371,575.321,1.9441
202,0.0202,688.81,576.687,1.94404
203,0.0203,689.246,578.046,1.94398
204,0.0204,689.678,579.398,1.94392
205,0.0205,690.106,580.742,1.94386
206,0.0206,690.531,582.08,1.9438
207,0.0207,690.951,583.409,1.94374
208,0.0208,691.367,584.732,1.94368
209,0.0209,691.779,586.047,1.94362
210,0.021,692.186,587.353,1.94356
211,0.0211,692.589,588.653,1.9435
212,0.0212,692.987,589.944,1.94344
213,0.0213,693.381,591.229,1.94338
214,0.0214,693.777,592.511,1.94333
215,0.0215,694.178,593.794,1.94327
216,0.0216,694.587,595.078,1.94321
217,0.0217,695,596.36,1.94315
218,0.0218,695.407,597.635,1.94309
219,0.0219,695.817,598.907,1.94303
220,0.022,696.216,600.168,1.94298
221,0.0221,696.62,601.426,1.94292
222,0.0222,697.007,602.67,1.94286
223,0.0223,697.403,603.916,1.9428
224,0.0224,697.795,605.156,1.94274
225,0.0225,698.187,606.39,1.94269
226,0.0226,698.573,607.617,1.94263
227,0.0227,698.957,608.838,1.94257
228,0.0228,699.337,610.053,1.94252
229,0.0229,699.714,611.261,1.94246
230,0.023,700.087,612.461,1.9424
231,0.0231,700.447,613.649,1.94235
232,0.0232,700.824,614.846,1.94229
233,0.0233,701.202,616.04,1.94223
234,0.0234,701.579,617.23,1.94218
235,0.0235,701.956,618.417,1.94212
236,0.0236,702.334,619.6,1.94206
237,0.0237,702.714,620.782,1.94201
238,0.0238,703.091,621.958,1.94195
239,0.0239,703.47,623.131,1.9419
240,0.024,703.842,624.295,1.94184
241,0.0241,704.214,625.456,1.94178
242,0.0242,704.582,626.61,1.94173
243,0.0243,704.95,627.761,1.94167
244,0.0244,705.319,628.908,1.94162
245,0.0245,705.677,630.045,1.94156
246,0.0246,706.039,631.179,1.94151
247,0.0247,706.391,632.305,1.94145
248,0.0248,706.749,633.429,1.9414
249,0.0249,707.104,634.549,1.94134
250,0.025,707.452,635.66,1.94129
251,0.0251,707.801,636.767,1.94123
252,0.0252,708.144,637.867,1.94118
253,0.0253,708.488,638.964,1.94112
254,0.0254,708.824,640.051,1.94107
255,0.0255,709.154,641.131,1.94102
256,0.0256,709.49,642.211,1.94096
257,0.0257,709.817,643.282,1.94091
258,0.0258,710.149,644.352,1.94085
259,0.0259,710.474,645.414,1.9408
260,0.026,710.793,646.468,1.94075
261,0.0261,711.119,647.525,1.94069
262,0.0262,711.447,648.58,1.94064
263,0.0263,711.775,649.633,1.94059
264,0.0264,712.105,650.684,1.94053
265,0.0265,712.438,651.733,1.94048
266,0.0266,712.769,652.779,1.94043
267,0.0267,713.102,653.823,1.94038
268,0.0268,713.433,654.863,1.94032
269,0.0269,713.762,655.897,1.94027
270,0.027,714.088,656.927,1.94022
271,0.0271,714.416,657.954,1.94016
272,0.0272,714.739,658.975,1.94011
273,0.0273,715.057,659.989,1.94006
274,0.0274,715.38,661.002,1.94001
275,0.0275,715.696,662.009,1.93995
276,0.0276,716.015,663.014,1.9399
277,0.0277,716.328,664.011,1.93985
278,0.0278,716.643,665.007,1.9398
279,0.0279,716.95,665.995,1.93975
280,0.028,717.263,666.982,1.9397
281,0.0281,717.565,667.959,1.93964
282,0.0282,717.874,668.938,1.93959
283,0.0283,718.17,669.904,1.93954
284,0.0284,718.476,670.874,1.93949
285,0.0285,718.765,671.83,1.93944
286,0.0286,719.067,672.791,1.93939
287,0.0287,719.357,673.742,1.93934
288,0.0288,719.656,674.694,1.93929
289,0.0289,719.941,675.635,1.93923
290,0.029,720.236,676.579,1.93918
291,0.0291,720.52,677.513,1.93913
292,0.0292,720.809,678.447,1.93908
293,0.0293,721.088,679.371,1.93903
294,0.0294,721.374,680.296,1.93898
295,0.0295,721.652,681.214,1.93893
296,0.0296,721.931,682.129,1.93888
297,0.0297,722.204,683.036,1.93883
298,0.0298,722.479,683.942,1.93878
299,0.0299,722.75,684.843,1.93873
300,0.03,723.019,685.738,1.93868
301,0.0301,723.286,686.629,1.93863
302,0.0302,723.553,687.519,1.93858
303,0.0303,723.823,688.408,1.93853
304,0.0304,724.097,689.299,1.93848
305,0.0305,724.374,690.19,1.93843
306,0.0306,724.654,691.08,1.93839
307,0.0307,724.936,691.97,1.93834
308,0.0308,725.216,692.856,1.93829
309,0.0309,725.496,693.738,1.93824
310,0.031,725.774,694.617,1.93819
311,0.0311,726.051,695.493,1.93814
312,0.0312,726.327,696.364,1.93809
313,0.0313,726.601,697.232,1.93804
314,0.0314,726.874,698.097,1.93799
315,0.0315,727.145,698.957,1.93794
